,코드,위도,경도,수
0,2771038000,35.656487,128.4029,4
1,2871025000,37.75255,126.48738600000001,24
2,2871032000,37.68492,126.481494,15005
3,2871033000,37.628424,126.498073,40
4,2871034000,37.619391,126.424426,130
5,2871038000,37.801903,126.40193500000001,2
6,3171025300,35.584771,129.15989199999999,270
7,3171025900,35.597028,129.246585,77
8,3171031000,35.367938,129.313059,21
9,3171034000,35.467290000000006,129.197954,108
10,3171037000,35.67306,129.14411299999998,7
11,3171038000,35.593853,129.057332,62
12,3171039000,35.532226,129.09601999999998,1
13,3611038000,36.656411999999996,127.250206,30
14,4122025600,36.990543,126.85936799999999,54
15,4122032000,37.102142,127.02143999999998,28
16,4122033000,37.03734,127.027679,30
17,4122034000,37.003336,126.99140600000001,22000
18,4122037000,36.944922999999996,126.932405,1
19,4136025000,37.594026,127.24709399999999,1
20,4136034000,37.726333000000004,127.304076,17
21,4146135000,37.143757,127.379791,119
22,4148025300,37.828603,126.814897,20
23,4148025600,37.867114,126.89295,14
24,4148026200,37.750840000000004,126.82308300000001,25
25,4148037000,37.958285,126.931001,21027
26,4150025000,37.134708,127.596404,40007
27,4150025300,37.273133,127.506993,7000
28,4150031000,37.313656,127.41040500000001,2
29,4150032000,37.325545,127.48253799999999,3017
30,4150033000,37.2152,127.41196000000001,39
31,4150034000,37.249663,127.37080800000001,20001
32,4150035000,37.212945,127.49769599999999,36
33,4150036000,37.170727,127.456728,38
34,4150037000,37.139545,127.52310200000001,16101
35,4150038000,37.075658000000004,127.54691799999999,228
36,4155025000,36.994714,127.173594,28104
37,4155031000,37.056056,127.313776,27002
38,4155032000,36.981640999999996,127.34426699999999,101
39,4155033000,36.93671,127.267227,32625
40,4155034000,36.969666,127.223482,55
41,4155035000,37.034735999999995,127.23851100000002,8000
42,4155039000,37.09833,127.46874299999999,127
43,4155040000,37.048675,127.42181399999998,14
44,4155042000,37.092335999999996,127.27148999999999,17
45,4157035000,37.736397,126.554286,1
46,4159025300,37.203917,126.939222,67
47,4159032000,37.231884,126.871677,4
48,4159033000,37.192014,126.76274699999999,43
49,4159034000,37.23016,126.719077,10
50,4159035000,37.164258000000004,126.695252,38
51,4159036000,37.153723,126.88207,85
52,4159037000,37.073825,126.840994,85
53,4159040000,37.088336,126.95992199999999,170
54,4159041000,37.161823,126.986129,18646
55,4161025300,37.396867,127.311132,24
56,4161033000,37.308099,127.315474,1
57,4165041000,37.898045,127.285271,34
58,4180025000,38.100272,127.114677,17701
59,4180025300,37.994412,127.037155,3
60,4180032000,38.010791,127.102066,9
61,4180033000,38.028813,126.904645,3
62,4180034000,38.036321,126.976949,206130
63,4180035000,38.096531,126.943173,5
64,4180036000,38.191946,127.112381,12
65,4182033000,37.790760999999996,127.337773,1
66,4183025000,37.493552,127.514053,15014
67,4183031000,37.461065999999995,127.467679,31
68,4183034000,37.55178,127.486501,30000
69,4183037000,37.548212,127.752196,25000
70,4183039500,37.448685,127.65141499999999,1
71,4183041000,37.439898,127.549489,6000
72,4211025000,37.96009,127.75361799999999,18
73,4211032000,37.772923,127.782403,40
74,4211033000,37.809113,127.705524,34
75,4211034000,37.738423,127.59786899999999,8
76,4211035000,37.898179,127.643519,2
77,4211036000,38.010445000000004,127.643648,1
78,4211038000,37.96935,127.909264,55
79,4211039000,37.837062,127.78433899999999,8
80,4211040000,37.779255,127.621352,8026
81,4213031000,37.406909999999996,128.017427,160
82,4213032000,37.428872999999996,127.910937,21080
83,4215034000,37.679231,128.96857,6
84,4215036000,37.799863,128.806469,2
85,4215037000,37.828094,128.69444199999998,70
86,4273025000,37.49064,127.99585800000001,6
87,4273036000,37.569765999999994,127.96001299999999,2
88,4275025000,37.201996,128.51083300000002,160
89,4275036000,37.280923,128.282488,16
90,4276025000,37.37167,128.391387,1
91,4276033000,37.498065000000004,128.447338,2
92,4276034000,37.612281,128.346714,13
93,4277025000,37.38041,128.622824,16
94,4277025600,37.233624,128.822983,1
95,4277025900,37.237846999999995,128.647989,3
96,4278025000,38.263118,127.17381499999999,1328
97,4278025300,38.268725,127.410183,168
98,4278025600,38.192364000000005,127.328833,11
99,4278025900,38.23979,127.24842199999999,12
100,4278032000,38.220952000000004,127.50260700000001,33
101,4279025000,38.185486,127.782528,33404
102,4279031000,38.063643,127.818252,4
103,4279032000,38.081619,127.65405200000001,4
104,4279033000,38.194537,127.61587800000001,14300
105,4279034000,38.073378000000005,127.508247,1
106,4280031000,38.08327,128.049937,1
107,4281031000,37.975031,128.106673,25006
108,4283032000,38.047278999999996,128.65221,40
109,4313039000,37.031501,127.89544199999999,19
110,4313043000,37.122355,127.853769,10
111,4315032000,37.009326,128.14458100000002,22
112,4315034000,36.875522,128.16472199999998,11
113,4372036000,36.459564,127.668501,1000
114,4373025000,36.301508,127.58373700000001,1533
115,4373033000,36.399522999999995,127.649403,25
116,4373034000,36.324709999999996,127.73318200000001,65
117,4373035000,36.345306,127.81553000000001,28
118,4373036000,36.22806,127.632126,69
119,4373037000,36.272316,127.52571499999999,4
120,4373038000,36.356715,127.559978,29
121,4374025000,36.177499,127.81063200000001,26
122,4374031000,36.262921999999996,127.804806,6
123,4374032000,36.236017,127.89678899999998,6
124,4374035000,36.099957,127.895124,1
125,4374036000,36.12291,127.76115,39
126,4374038000,36.087219,127.686805,23
127,4374039000,36.147058,127.642673,9
128,4374525000,36.766861,127.60393,2000
129,4375037000,36.976646,127.42366299999999,3
130,4376031000,36.838855,127.882811,37515
131,4376032000,36.835236,127.934478,11451
132,4376033000,36.766861999999996,128.00305500000002,22059
133,4376036000,36.673553000000005,127.81548799999999,2
134,4376037000,36.749179999999996,127.682176,2
135,4376041000,36.893177,127.823656,1
136,4377025000,36.941694,127.65440100000001,181
137,4377033000,36.918827,127.55815,200
138,4413131000,36.73769,127.122322,24000
139,4413134000,36.73216,127.23655,16000
140,4415033000,36.368364,127.157824,24500
141,4418031000,36.410464000000005,126.57981299999999,1
142,4418034000,36.450959999999995,126.606348,10082
143,4418039000,36.243065,126.68256299999999,1
144,4420036000,36.910915,127.03907199999999,40
145,4420040000,36.7408,126.904044,29
146,4420041000,36.790769,126.933819,128
147,4421039000,36.713857,126.539898,20
148,4423025300,36.110012,127.10309,1670
149,4423040000,36.140489,127.16878799999999,22700
150,4477033000,36.078903000000004,126.759702,3
151,4477034000,36.087314,126.826146,18
152,4477039000,36.110696000000004,126.660676,1
153,4479033000,36.423615000000005,126.93712099999999,1
154,4479036000,36.365446,126.88413700000001,2543
155,4479038000,36.442975,126.71556299999999,5014
156,4480025000,36.593042,126.66273600000001,101
157,4480033000,36.556711,126.704669,2
158,4480036000,36.550166,126.54799799999999,160
159,4480038000,36.618534000000004,126.54788,50
160,4481037000,36.744407,126.66758300000001,1
161,4481039000,36.744668,126.80595500000001,10
162,4482525300,36.521006,126.35776299999999,2
163,4514025000,36.061415000000004,126.96436899999999,17000
164,4514033000,36.040079,126.905092,1
165,4514039000,36.051286,127.09119299999999,25000
166,4514041000,35.973279999999995,127.08393799999999,158
167,4514044000,36.106437,126.99552,10000
168,4518032000,35.503291,126.798651,1
169,4518041000,35.6493,126.986434,1
170,4518044000,35.625977,127.05441100000002,1
171,4519031000,35.380691,127.45421999999999,2000
172,4519033000,35.357174,127.343764,35
173,4519034000,35.384885,127.30386000000001,6600
174,4519037000,35.425377000000005,127.315339,13500
175,4521033000,35.8458,126.887378,1000
176,4521034000,35.844689,126.971002,4300
177,4521040000,35.818315999999996,126.810732,6072
178,4571033000,35.825728000000005,127.032016,1900
179,4571037000,36.011412,127.157677,1
180,4571039000,36.050594,127.198901,2
181,4574031000,35.582243,127.409361,1
182,4574034000,35.733167,127.521437,6
183,4575025000,35.592447,127.26668899999999,38
184,4575032000,35.612441,127.15160300000001,8002
185,4575033000,35.647467999999996,127.23233,1
186,4575036000,35.691117999999996,127.18008300000001,2000
187,4575038000,35.695313,127.282301,98
188,4575039000,35.546603999999995,127.14353,2
189,4577025000,35.370442,127.13341000000001,25500
190,4579040000,35.536896999999996,126.700043,10000
191,4580031000,35.665105,126.709057,80
192,4580036000,35.643087,126.53502399999999,3
193,4613032000,34.848141999999996,127.570959,1
194,4613033000,34.691171000000004,127.596175,1500
195,4615031000,34.905888,127.548029,3
196,4615032000,35.027874,127.49350700000001,41
197,4615034000,35.085812,127.390052,6
198,4615038000,34.921259,127.34617,1
199,4615039000,34.8697,127.42936599999999,75011
200,4617031000,34.927192,126.73286,16
201,4617033000,34.913665,126.655068,8
202,4617034000,34.949939,126.60099699999999,29
203,4617035000,34.927591,126.553078,53
204,4617040000,35.030066999999995,126.80838899999999,100
205,4671025000,35.320871999999994,126.982598,1
206,4671031000,35.269114,126.95594399999999,3
207,4671038000,35.406745,127.00533300000001,2
208,4671039000,35.358808,126.931079,9
209,4672025000,35.28004,127.27115400000001,9400
210,4672033000,35.154528000000006,127.238844,5
211,4672034000,35.107413,127.301994,3
212,4672036000,35.277809000000005,127.362806,12
213,4673025000,35.203154,127.42593400000001,154
214,4673032000,35.152577,127.567479,31
215,4673036000,35.247989000000004,127.423629,2
216,4677034000,34.49884,127.32121699999999,2
217,4677038000,34.686806,127.38451299999998,41
218,4677040000,34.795367,127.33563600000001,31
219,4678025300,34.846578,127.32067099999999,1
