,법정동,축종,발생두수(마리)
276,4729031030,소,1
277,4812131025,소,1
278,4773033033,벌,5
279,4377035028,소,18
280,4686034022,소,1
281,4691025330,소,1
282,4691025332,소,1
283,4574033527,소,5
284,4686034027,소,2
285,4521033026,소,1
286,4518038026,소,1
287,4574031032,소,5
288,4827025033,소,7
289,4827025033,소,1
290,4480034027,소,36
291,4886031026,소,1
292,4273036022,소,5
293,5011025628,돼지,5
294,4817036022,소,1
295,5011013900,돼지,2
296,4827025033,소,34
297,4827025033,소,1
298,4827025030,소,2
299,4427025022,소,14
300,4617034029,소,2
301,4617031026,소,1
302,4686038021,소,4
303,4148026227,소,1
304,4713025322,소,1
305,4518036026,소,4
306,4677044024,벌,1
307,4827038031,소,1
308,4480025324,소,1
309,4418035026,소,3
310,4315010300,소,2
311,4376032023,소,1
312,5011025392,돼지,1
313,4521034026,소,2
314,4684033032,소,1
315,4684032034,소,3
316,4684032036,소,1
317,4182033023,소,1
318,4812131036,소,6
319,4672025027,닭,20
320,4886034024,벌,7
321,4889035034,소,1
322,4817037021,소,5
323,4617013000,소,13
324,4686038032,소,3
325,4686037025,소,1
326,4686036022,소,14
327,4687033031,소,1
328,4276031021,벌,3
329,4575036026,벌,100
330,4167034021,소,1
331,4617031026,소,1
332,4686038031,소,1
333,4817037021,소,2
334,4617013000,소,4
335,4684036026,소,1
336,4163031022,닭,2
337,4518038023,소,1
338,4481040028,소,8
339,4481025335,소,5
340,4480032026,소,11
341,4481025335,소,5
342,4377036025,벌,5
343,4148025325,소,4
344,4167034021,소,7
345,4155036038,소,2
346,4686034022,소,1
347,4684034021,소,1
348,4713025322,소,1
349,4678039032,벌,1
350,4521034026,소,1
351,4311135029,벌,2
352,4886034025,벌,10
353,4182033023,소,1
354,4678039032,벌,1
355,4373033030,소,1
356,5011025029,돼지,1
357,4873032036,소,14
358,4481040030,소,32
359,4377035028,소,1
360,4721010200,소,4
361,3171036023,소,5
362,4180036021,사슴,1
363,4792038025,소,1
364,4122011800,벌,1
365,4684034021,소,1
